1,Тип,Беспроводные наушники,2024-05-10 18:54:42.695+03,2024-05-10 18:54:42.695+03,29
67,Качество звука,Изумительное,2024-05-11 15:31:13.651+03,2024-05-11 15:31:13.651+03,42
66,Тип,Полноразмерные наушники,2024-05-11 15:31:13.651+03,2024-05-11 15:31:13.651+03,42
68,Посадка,Комфортная,2024-05-11 15:31:13.651+03,2024-05-11 15:31:13.651+03,42
69,Дизайн,Строгий,2024-05-11 15:31:13.651+03,2024-05-11 15:31:13.651+03,42
70,Время работы,До 20 часов,2024-05-11 15:31:13.651+03,2024-05-11 15:31:13.651+03,42
71,Тип,Полноразмерные наушники,2024-05-11 15:33:48.424+03,2024-05-11 15:33:48.424+03,43
72,Качество звука,Высокое,2024-05-11 15:33:48.424+03,2024-05-11 15:33:48.424+03,43
73,Дизайн,Современный,2024-05-11 15:33:48.425+03,2024-05-11 15:33:48.425+03,43
74,Посадка,Комфортная,2024-05-11 15:33:48.425+03,2024-05-11 15:33:48.425+03,43
75,Вес,300 г,2024-05-11 15:33:48.425+03,2024-05-11 15:33:48.425+03,43
76,Тип,Беспроводные наушники,2024-05-11 15:34:48.132+03,2024-05-11 15:34:48.132+03,44
52,Дизайн,Уникальный,2024-05-11 15:25:33.752+03,2024-05-11 15:25:33.752+03,
77,Шумоподавление,Активное,2024-05-11 15:34:48.132+03,2024-05-11 15:34:48.132+03,44
78,Качество звука,Превосходное,2024-05-11 15:34:48.132+03,2024-05-11 15:34:48.132+03,44
79,Время работы от одной зарядки,До 30 часов,2024-05-11 15:34:48.132+03,2024-05-11 15:34:48.132+03,44
80,Дизайн,Современный,2024-05-11 15:34:48.132+03,2024-05-11 15:34:48.132+03,44
51,Тип,Беспроводные наушники мониторы,2024-05-11 15:25:33.752+03,2024-05-11 15:25:33.752+03,
53,Звук,Качественный,2024-05-11 15:25:33.752+03,2024-05-11 15:25:33.752+03,
54,Посадка,Комфортная,2024-05-11 15:25:33.752+03,2024-05-11 15:25:33.752+03,
55,Аккумулятор,Долговечный,2024-05-11 15:25:33.752+03,2024-05-11 15:25:33.752+03,
81,Тип,Проводные наушники-вкладыши,2024-05-11 15:37:55.157+03,2024-05-11 15:37:55.157+03,45
82,Стереозвук,Да,2024-05-11 15:37:55.157+03,2024-05-11 15:37:55.157+03,45
83,Бас,Усиленный,2024-05-11 15:37:55.157+03,2024-05-11 15:37:55.157+03,45
84,Микрофон,Есть,2024-05-11 15:37:55.157+03,2024-05-11 15:37:55.157+03,45
85,Длина кабеля,1.2 метра,2024-05-11 15:37:55.157+03,2024-05-11 15:37:55.157+03,45
86,Тип,Проводные наушники-вкладыши,2024-05-11 15:38:19.946+03,2024-05-11 15:38:19.946+03,46
87,Стереозвук,Да,2024-05-11 15:38:19.946+03,2024-05-11 15:38:19.946+03,46
88,Микрофон,Есть,2024-05-11 15:38:19.947+03,2024-05-11 15:38:19.947+03,46
89,Длина кабеля,1.2 метра,2024-05-11 15:38:19.947+03,2024-05-11 15:38:19.947+03,46
90,Цвет,Черный,2024-05-11 15:38:19.947+03,2024-05-11 15:38:19.947+03,46
91,Тип,Проводные наушники-вкладыши,2024-05-11 15:39:04.843+03,2024-05-11 15:39:04.843+03,47
92,Стереозвук,Да,2024-05-11 15:39:04.843+03,2024-05-11 15:39:04.843+03,47
93,Микрофон,Есть,2024-05-11 15:39:04.843+03,2024-05-11 15:39:04.843+03,47
94,Длина кабеля,1.2 метра,2024-05-11 15:39:04.843+03,2024-05-11 15:39:04.843+03,47
95,Цвет,Белый,2024-05-11 15:39:04.843+03,2024-05-11 15:39:04.843+03,47
96,Тип,Проводные наушники-вкладыши,2024-05-11 15:39:17.717+03,2024-05-11 15:39:17.717+03,48
97,Стереозвук,Да,2024-05-11 15:39:17.717+03,2024-05-11 15:39:17.717+03,48
98,Микрофон,Есть,2024-05-11 15:39:17.719+03,2024-05-11 15:39:17.719+03,48
99,Длина кабеля,1.2 метра,2024-05-11 15:39:17.72+03,2024-05-11 15:39:17.72+03,48
100,Цвет,Черный,2024-05-11 15:39:17.72+03,2024-05-11 15:39:17.72+03,48
101,Тип,Проводные наушники-вкладыши,2024-05-11 15:39:39.28+03,2024-05-11 15:39:39.28+03,49
102,Стереозвук,Да,2024-05-11 15:39:39.28+03,2024-05-11 15:39:39.28+03,49
103,Микрофон,Есть,2024-05-11 15:39:39.28+03,2024-05-11 15:39:39.28+03,49
104,Длина кабеля,1.2 метра,2024-05-11 15:39:39.28+03,2024-05-11 15:39:39.28+03,49
105,Цвет,Белый,2024-05-11 15:39:39.28+03,2024-05-11 15:39:39.28+03,49
106,Тип,Двухкамерный холодильник,2024-05-11 15:41:45.021+03,2024-05-11 15:41:45.021+03,50
107,Объем,300 литров,2024-05-11 15:41:45.021+03,2024-05-11 15:41:45.021+03,50
108,Система охлаждения,No Frost,2024-05-11 15:41:45.021+03,2024-05-11 15:41:45.021+03,50
109,Цвет,Серебристый,2024-05-11 15:41:45.021+03,2024-05-11 15:41:45.021+03,50
110,Тип,Двухкамерный холодильник,2024-05-11 15:42:56.533+03,2024-05-11 15:42:56.533+03,51
111,Объем,400 литров,2024-05-11 15:42:56.533+03,2024-05-11 15:42:56.533+03,51
112,Система охлаждения,Twin Cooling Plus,2024-05-11 15:42:56.533+03,2024-05-11 15:42:56.533+03,51
113,Цвет,Нержавеющая сталь,2024-05-11 15:42:56.533+03,2024-05-11 15:42:56.533+03,51
114,Тип,Однокамерный холодильник,2024-05-11 15:43:06.083+03,2024-05-11 15:43:06.083+03,52
115,Цвет,Белый,2024-05-11 15:43:06.083+03,2024-05-11 15:43:06.083+03,52
116,Объем,250 литров,2024-05-11 15:43:06.083+03,2024-05-11 15:43:06.083+03,52
117,Система охлаждения,Мульти-охлаждение,2024-05-11 15:43:06.083+03,2024-05-11 15:43:06.083+03,52
118,Тип,Двухкамерный холодильник,2024-05-11 15:43:35.59+03,2024-05-11 15:43:35.59+03,53
119,Объем,400 литров,2024-05-11 15:43:35.59+03,2024-05-11 15:43:35.59+03,53
120,Система охлаждения,Арктическое охлаждение,2024-05-11 15:43:35.59+03,2024-05-11 15:43:35.59+03,53
121,Цвет,Серый,2024-05-11 15:43:35.59+03,2024-05-11 15:43:35.59+03,53
122,Тип,Однокамерный холодильник,2024-05-11 15:43:46.948+03,2024-05-11 15:43:46.948+03,54
123,Объем,250 литров,2024-05-11 15:43:46.948+03,2024-05-11 15:43:46.948+03,54
124,Система охлаждения,Мульти-охлаждение,2024-05-11 15:43:46.948+03,2024-05-11 15:43:46.948+03,54
125,Цвет,Белый,2024-05-11 15:43:46.948+03,2024-05-11 15:43:46.948+03,54
126,Тип,Автоматическая стиральная машина,2024-05-11 15:47:26.602+03,2024-05-11 15:47:26.602+03,55
127,Максимальная загрузка,8 кг,2024-05-11 15:47:26.602+03,2024-05-11 15:47:26.602+03,55
128,Управление,Интеллектуальная система управления,2024-05-11 15:47:26.602+03,2024-05-11 15:47:26.602+03,55
129,Тип,Автоматическая стиральная машина,2024-05-11 15:47:35.186+03,2024-05-11 15:47:35.186+03,56
130,Защита,Система защиты от протечек,2024-05-11 15:47:35.186+03,2024-05-11 15:47:35.186+03,56
131,Максимальная загрузка,6 кг,2024-05-11 15:47:35.186+03,2024-05-11 15:47:35.186+03,56
132,Тип,Автоматическая стиральная машина,2024-05-11 15:47:46.706+03,2024-05-11 15:47:46.706+03,57
133,Максимальная загрузка,10 кг,2024-05-11 15:47:46.706+03,2024-05-11 15:47:46.706+03,57
134,Функции,"Быстрая стирка, сбережение воды",2024-05-11 15:47:46.706+03,2024-05-11 15:47:46.706+03,57
135,Тип,Автоматическая стиральная машина,2024-05-11 15:47:55.776+03,2024-05-11 15:47:55.776+03,58
137,Технология,AquaWave,2024-05-11 15:47:55.776+03,2024-05-11 15:47:55.776+03,58
136,Максимальная загрузка,7 кг,2024-05-11 15:47:55.776+03,2024-05-11 15:47:55.776+03,58
138,Тип,Автоматическая стиральная машина,2024-05-11 15:48:05.206+03,2024-05-11 15:48:05.206+03,59
139,Максимальная загрузка,8 кг,2024-05-11 15:48:05.206+03,2024-05-11 15:48:05.206+03,59
140,Управление,Сенсорное управление,2024-05-11 15:48:05.206+03,2024-05-11 15:48:05.206+03,59
141,Объем кастрюли,5 л,2024-05-11 15:49:41.399+03,2024-05-11 15:49:41.399+03,60
142,Управление,Сенсорный экран,2024-05-11 15:49:41.399+03,2024-05-11 15:49:41.399+03,60
143,Объем кастрюли,6 л,2024-05-11 15:49:50.702+03,2024-05-11 15:49:50.702+03,61
144,Управление,Интеллектуальная система управления,2024-05-11 15:49:50.702+03,2024-05-11 15:49:50.702+03,61
145,Объем кастрюли,5 л,2024-05-11 15:50:04.374+03,2024-05-11 15:50:04.374+03,62
146,Управление,Сенсорный дисплей,2024-05-11 15:50:04.374+03,2024-05-11 15:50:04.374+03,62
147,Объем кастрюли,8 л,2024-05-11 15:50:14.4+03,2024-05-11 15:50:14.4+03,63
148,Управление,Интеллектуальная система управления,2024-05-11 15:50:14.4+03,2024-05-11 15:50:14.4+03,63
149,Объем кастрюли,6 л,2024-05-11 15:50:23.109+03,2024-05-11 15:50:23.109+03,64
150,Управление,Простой интерфейс,2024-05-11 15:50:23.109+03,2024-05-11 15:50:23.109+03,64
151,Диагональ экрана,65 дюймов,2024-05-11 15:57:20.544+03,2024-05-11 15:57:20.544+03,65
152,Разрешение,4K Ultra HD,2024-05-11 15:57:20.544+03,2024-05-11 15:57:20.544+03,65
153,Технология,Crystal UHD,2024-05-11 15:57:20.544+03,2024-05-11 15:57:20.544+03,65
155,Поддержка HDR,Да,2024-05-11 15:57:20.544+03,2024-05-11 15:57:20.544+03,65
154,Частота обновления,60 Гц,2024-05-11 15:57:20.544+03,2024-05-11 15:57:20.544+03,65
156,Диагональ экрана,55 дюймов,2024-05-11 15:57:42.648+03,2024-05-11 15:57:42.648+03,66
157,Разрешение,4K Ultra HD,2024-05-11 15:57:42.648+03,2024-05-11 15:57:42.648+03,66
158,Технология,OLED,2024-05-11 15:57:42.648+03,2024-05-11 15:57:42.648+03,66
159,Процессор,Cognitive Processor XR,2024-05-11 15:57:42.648+03,2024-05-11 15:57:42.648+03,66
160,Поддержка HDR,Да,2024-05-11 15:57:42.648+03,2024-05-11 15:57:42.648+03,66
161,Диагональ экрана,75 дюймов,2024-05-11 15:57:52.936+03,2024-05-11 15:57:52.936+03,67
162,Разрешение,8K Ultra HD,2024-05-11 15:57:52.936+03,2024-05-11 15:57:52.936+03,67
163,Технология,Quantum Dot,2024-05-11 15:57:52.937+03,2024-05-11 15:57:52.937+03,67
164,Аудио,Высококачественная звуковая система,2024-05-11 15:57:52.937+03,2024-05-11 15:57:52.937+03,67
165,Поддержка HDR,Dolby Vision,2024-05-11 15:57:52.937+03,2024-05-11 15:57:52.937+03,67
166,Диагональ экрана,55 дюймов,2024-05-11 15:58:55.478+03,2024-05-11 15:58:55.478+03,68
167,Разрешение,4K Ultra HD,2024-05-11 15:58:55.478+03,2024-05-11 15:58:55.478+03,68
168,Технология,8K HDR,2024-05-11 15:58:55.478+03,2024-05-11 15:58:55.478+03,68
169,Motion Clear,Да,2024-05-11 15:58:55.478+03,2024-05-11 15:58:55.478+03,68
170,Управление голосом,Да,2024-05-11 15:58:55.478+03,2024-05-11 15:58:55.478+03,68
171,Разрешение,4K Ultra HD,2024-05-11 15:59:06.377+03,2024-05-11 15:59:06.377+03,69
172,Потоковый контент,Широкий выбор,2024-05-11 15:59:06.377+03,2024-05-11 15:59:06.377+03,69
173,Технология,HDR,2024-05-11 15:59:06.377+03,2024-05-11 15:59:06.377+03,69
174,Управление голосом,Да,2024-05-11 15:59:06.377+03,2024-05-11 15:59:06.377+03,69
175,Процессор,A12 Bionic,2024-05-11 15:59:06.377+03,2024-05-11 15:59:06.377+03,69
176,Процессор,Intel Xeon,2024-05-11 16:01:47.115+03,2024-05-11 16:01:47.115+03,70
177,Количество ядер,До 28,2024-05-11 16:01:47.115+03,2024-05-11 16:01:47.115+03,70
178,Видеокарта,AMD Radeon Pro,2024-05-11 16:01:47.115+03,2024-05-11 16:01:47.115+03,70
179,Память,До 1.5 ТБ,2024-05-11 16:01:47.116+03,2024-05-11 16:01:47.116+03,70
180,Хранилище,До 8 ТБ SSD,2024-05-11 16:01:47.116+03,2024-05-11 16:01:47.116+03,70
181,Процессор,Intel Core i9,2024-05-11 16:01:57.833+03,2024-05-11 16:01:57.833+03,71
182,Память,До 64 ГБ RAM,2024-05-11 16:01:57.834+03,2024-05-11 16:01:57.834+03,71
183,Видеокарта,NVIDIA GeForce RTX 3090,2024-05-11 16:01:57.833+03,2024-05-11 16:01:57.833+03,71
184,Хранилище,До 2 ТБ SSD + 8 ТБ HDD,2024-05-11 16:01:57.834+03,2024-05-11 16:01:57.834+03,71
185,Охлаждение,Эффективная система охлаждения,2024-05-11 16:01:57.834+03,2024-05-11 16:01:57.834+03,71
186,Процессор,Intel Core i9,2024-05-11 16:02:23.257+03,2024-05-11 16:02:23.257+03,72
187,Видеокарта,NVIDIA GeForce RTX 3080,2024-05-11 16:02:23.258+03,2024-05-11 16:02:23.258+03,72
188,Память,До 32 ГБ RAM,2024-05-11 16:02:23.258+03,2024-05-11 16:02:23.258+03,72
189,Хранилище,До 1 ТБ SSD + 4 ТБ HDD,2024-05-11 16:02:23.258+03,2024-05-11 16:02:23.258+03,72
190,Охлаждение,Эффективная система охлаждения,2024-05-11 16:02:23.258+03,2024-05-11 16:02:23.258+03,72
191,Процессор,Intel Core i7,2024-05-11 16:02:30.341+03,2024-05-11 16:02:30.341+03,73
192,Хранилище,До 512 ГБ SSD + 2 ТБ HDD,2024-05-11 16:02:30.341+03,2024-05-11 16:02:30.341+03,73
193,Охлаждение,Эффективная система охлаждения,2024-05-11 16:02:30.341+03,2024-05-11 16:02:30.341+03,73
194,Память,До 32 ГБ RAM,2024-05-11 16:02:30.341+03,2024-05-11 16:02:30.341+03,73
195,Видеокарта,NVIDIA GeForce RTX 3070,2024-05-11 16:02:30.341+03,2024-05-11 16:02:30.341+03,73
196,Процессор,AMD Ryzen 9,2024-05-11 16:02:38.904+03,2024-05-11 16:02:38.904+03,74
197,Охлаждение,Эффективная система охлаждения,2024-05-11 16:02:38.904+03,2024-05-11 16:02:38.904+03,74
198,Видеокарта,NVIDIA GeForce GTX 1660 Ti,2024-05-11 16:02:38.904+03,2024-05-11 16:02:38.904+03,74
199,Хранилище,До 512 ГБ SSD + 2 ТБ HDD,2024-05-11 16:02:38.904+03,2024-05-11 16:02:38.904+03,74
200,Память,До 16 ГБ RAM,2024-05-11 16:02:38.904+03,2024-05-11 16:02:38.904+03,74
201,Процессор,Intel Xeon,2024-05-11 16:03:29.979+03,2024-05-11 16:03:29.979+03,75
202,Количество ядер,До 18,2024-05-11 16:03:29.979+03,2024-05-11 16:03:29.979+03,75
203,Видеокарта,Radeon Pro Vega,2024-05-11 16:03:29.979+03,2024-05-11 16:03:29.979+03,75
204,Память,До 256 ГБ RAM,2024-05-11 16:03:29.979+03,2024-05-11 16:03:29.979+03,75
205,Хранилище,До 4 ТБ SSD,2024-05-11 16:03:29.979+03,2024-05-11 16:03:29.979+03,75
206,Процессор,Intel Core i7,2024-05-11 16:03:38.169+03,2024-05-11 16:03:38.169+03,76
207,Экран,27-дюймовый 4K,2024-05-11 16:03:38.169+03,2024-05-11 16:03:38.169+03,76
208,Память,До 32 ГБ RAM,2024-05-11 16:03:38.169+03,2024-05-11 16:03:38.169+03,76
209,Хранилище,До 1 ТБ SSD,2024-05-11 16:03:38.169+03,2024-05-11 16:03:38.169+03,76
210,Графика,Intel Iris Plus,2024-05-11 16:03:38.169+03,2024-05-11 16:03:38.169+03,76
212,Графика,Intel UHD Graphics,2024-05-11 16:03:47.235+03,2024-05-11 16:03:47.235+03,77
213,Память,До 16 ГБ RAM,2024-05-11 16:03:47.235+03,2024-05-11 16:03:47.235+03,77
214,Хранилище,До 512 ГБ SSD,2024-05-11 16:03:47.235+03,2024-05-11 16:03:47.235+03,77
211,Процессор,Intel Core i5,2024-05-11 16:03:47.235+03,2024-05-11 16:03:47.235+03,77
215,Экран,23.8-дюймовый Full HD,2024-05-11 16:03:47.235+03,2024-05-11 16:03:47.235+03,77
216,Процессор,Intel Core i7,2024-05-11 16:03:54.863+03,2024-05-11 16:03:54.863+03,78
217,Память,До 32 ГБ RAM,2024-05-11 16:03:54.863+03,2024-05-11 16:03:54.863+03,78
218,Хранилище,До 1 ТБ SSD,2024-05-11 16:03:54.863+03,2024-05-11 16:03:54.863+03,78
219,Экран,27-дюймовый Full HD,2024-05-11 16:03:54.863+03,2024-05-11 16:03:54.863+03,78
220,Графика,Intel Iris Xe,2024-05-11 16:03:54.863+03,2024-05-11 16:03:54.863+03,78
221,Процессор,AMD Ryzen 7,2024-05-11 16:04:05.413+03,2024-05-11 16:04:05.413+03,79
222,Графика,AMD Radeon,2024-05-11 16:04:05.413+03,2024-05-11 16:04:05.413+03,79
223,Память,До 16 ГБ RAM,2024-05-11 16:04:05.413+03,2024-05-11 16:04:05.413+03,79
224,Хранилище,До 512 ГБ SSD,2024-05-11 16:04:05.413+03,2024-05-11 16:04:05.413+03,79
225,Экран,23.8-дюймовый Full HD,2024-05-11 16:04:05.413+03,2024-05-11 16:04:05.413+03,79
226,Тип подключения,Беспроводной,2024-05-11 16:06:13.8+03,2024-05-11 16:06:13.8+03,80
227,Технология,Bluetooth,2024-05-11 16:06:13.8+03,2024-05-11 16:06:13.8+03,80
228,Эргономика,Эргономичный дизайн,2024-05-11 16:06:13.8+03,2024-05-11 16:06:13.8+03,80
229,Точность,Высокая точность курсора,2024-05-11 16:06:13.8+03,2024-05-11 16:06:13.8+03,80
230,Совместимость,"С MacBook, iMac и Mac Pro",2024-05-11 16:06:13.8+03,2024-05-11 16:06:13.8+03,80
231,Технология,2.4 ГГц беспроводная технология,2024-05-11 16:06:21.243+03,2024-05-11 16:06:21.243+03,81
232,Тип подключения,Беспроводной,2024-05-11 16:06:21.243+03,2024-05-11 16:06:21.243+03,81
240,Дизайн,Компактный и эргономичный дизайн,2024-05-11 16:06:28.89+03,2024-05-11 16:06:28.89+03,82
234,Дизайн,Стильный и элегантный дизайн,2024-05-11 16:06:21.243+03,2024-05-11 16:06:21.243+03,81
239,Технология,2.4 ГГц беспроводная технология,2024-05-11 16:06:28.89+03,2024-05-11 16:06:28.89+03,82
291,Экран,2.2 дюйма,2024-05-11 16:19:46.294+03,2024-05-11 16:19:46.294+03,98
338,Память,"8 ГБ RAM, 512 ГБ SSD",2024-05-11 16:23:41.05+03,2024-05-11 16:23:41.05+03,107
341,Экран,"14 дюймов, IPS",2024-05-11 16:23:51.019+03,2024-05-11 16:23:51.019+03,108
350,ОС,Windows 10,2024-05-11 16:23:59.703+03,2024-05-11 16:23:59.703+03,109
235,Точность,Точное управление,2024-05-11 16:06:21.243+03,2024-05-11 16:06:21.243+03,81
236,Тип подключения,Беспроводной,2024-05-11 16:06:28.89+03,2024-05-11 16:06:28.89+03,82
294,Память,32 МБ + microSD до 16 ГБ,2024-05-11 16:19:46.294+03,2024-05-11 16:19:46.294+03,98
351,Тип,Беспроводная,2024-05-11 16:26:04.958+03,2024-05-11 16:26:04.958+03,110
352,Подключение,Bluetooth,2024-05-11 16:26:04.958+03,2024-05-11 16:26:04.958+03,110
353,Цвет,Серый космос,2024-05-11 16:26:04.958+03,2024-05-11 16:26:04.958+03,110
354,Батарея,"Встроенная, до 1 месяца работы",2024-05-11 16:26:04.958+03,2024-05-11 16:26:04.958+03,110
355,Совместимость,"MacBook, iMac",2024-05-11 16:26:04.958+03,2024-05-11 16:26:04.958+03,110
360,Материал,Пластик,2024-05-11 16:26:14.778+03,2024-05-11 16:26:14.778+03,111
237,Совместимость,С ПК и ноутбуками,2024-05-11 16:06:28.89+03,2024-05-11 16:06:28.89+03,82
295,Аккумулятор,1200 мАч,2024-05-11 16:19:46.294+03,2024-05-11 16:19:46.294+03,98
356,Тип,Проводная,2024-05-11 16:26:14.778+03,2024-05-11 16:26:14.778+03,111
241,Тип подключения,Беспроводной,2024-05-11 16:08:51.282+03,2024-05-11 16:08:51.282+03,87
242,Технология,2.4 ГГц беспроводная технология,2024-05-11 16:08:51.283+03,2024-05-11 16:08:51.283+03,87
243,Точность,Точное управление,2024-05-11 16:08:51.283+03,2024-05-11 16:08:51.283+03,87
244,Дизайн,Стильный и элегантный дизайн,2024-05-11 16:08:51.283+03,2024-05-11 16:08:51.283+03,87
245,Совместимость,С ПК и ноутбуками,2024-05-11 16:08:51.283+03,2024-05-11 16:08:51.283+03,87
296,Экран,2.4 дюйма,2024-05-11 16:19:59.585+03,2024-05-11 16:19:59.585+03,99
297,Камера,1.3 Мп,2024-05-11 16:19:59.585+03,2024-05-11 16:19:59.585+03,99
298,Память,64 МБ + microSD до 32 ГБ,2024-05-11 16:19:59.585+03,2024-05-11 16:19:59.585+03,99
299,Аккумулятор,1000 мАч,2024-05-11 16:19:59.585+03,2024-05-11 16:19:59.585+03,99
300,Особенности,"FM-радио, фонарик",2024-05-11 16:19:59.585+03,2024-05-11 16:19:59.585+03,99
357,Подключение,USB,2024-05-11 16:26:14.778+03,2024-05-11 16:26:14.778+03,111
246,Тип подключения,Беспроводной,2024-05-11 16:09:23.917+03,2024-05-11 16:09:23.917+03,89
247,Технология,2.4 ГГц беспроводная технология,2024-05-11 16:09:23.918+03,2024-05-11 16:09:23.918+03,89
248,Точность,Точное управление,2024-05-11 16:09:23.918+03,2024-05-11 16:09:23.918+03,89
